Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Apartment in Bucaramanga,130,4.75,37,0.8615384615,0,18,18,0.1384615385,1.5,1,1,,,,,
,,Apartment in Bucaramanga,124,4.54,37,0.9032258065,12,0,12,0.09677419355,1,1,1,,,,,
,,Apartment in Bucaramanga,135,5,35,0.7703703704,12,19,31,0.2296296296,,1,1,,,,,
,,Apartment in Floridablanca,131,4.94,35,0.7938931298,9,18,27,0.2061068702,1,1,1,,,,,
,,Apartment in Bucaramanga,140,4.82,35,0.7428571429,16,20,36,0.2571428571,,1,1,,,,,
,,Condo in Piedecuesta,135,4.79,35,0.7703703704,12,19,31,0.2296296296,,1,1,,,,,
,,Apartment in Bucaramanga,137,4.69,35,0.7591240876,14,19,33,0.2408759124,,1,1,,,,,
,,Apartment in Bucaramanga,113,4.58,35,0.9203539823,9,0,9,0.0796460177,,1,1,,,,,
,,Apartment in Floridablanca,117,,35,0.8888888889,13,0,13,0.1111111111,1,1,1,,,,,
,,Apartment in Bucaramanga,121,,35,0.8595041322,0,17,17,0.1404958678,,1,1,,,,,
,,Apartment in Bucaramanga,137,5,35,0.7737226277,12,19,31,0.2262773723,1,1,1,,,,,
,,Apartment in Floridablanca,137,4.89,35,0.7737226277,12,19,31,0.2262773723,2,1,1,,,,,
,,Apartment in Floridablanca,139,5,36,0.7769784173,14,17,31,0.2230215827,1,1,1,,,,,
,,Apartment in Bucaramanga,117,4.82,36,0.9230769231,9,0,9,0.07692307692,,1,1,,,,,
,,Apartment in Floridablanca,147,5,37,0.7482993197,16,21,37,0.2517006803,1,1,1,,,,,
,,Apartment in Floridablanca,147,5,37,0.7482993197,16,21,37,0.2517006803,1,1,1,,,,,
,,Condo in Bucaramanga,144,4.95,37,0.7638888889,14,20,34,0.2361111111,,1,1,,,,,
,,Apartment in Bucaramanga,147,4.89,37,0.7482993197,16,21,37,0.2517006803,,1,1,,,,,
,,Apartment in Bucaramanga,148,4.37,37,0.7432432432,17,21,38,0.2567567568,1.5,1,1,,,,,
,,Apartment in Floridablanca,151,5,38,0.761589404,15,21,36,0.238410596,1,1,1,,,,,
,,Apartment in Piedecuesta,156,5,40,0.7692307692,14,22,36,0.2307692308,,1,1,,,,,
,,Loft in Bucaramanga,154,4.83,40,0.7792207792,12,22,34,0.2207792208,,1,1,,,,,
,,Apartment in Floridablanca,159,5,46,0.8616352201,0,22,22,0.1383647799,1.5,1,1,,,,,
,,Apartment in Bucaramanga,163,5,41,0.7607361963,16,23,39,0.2392638037,,1,1,,,,,
,,Home in Floridablanca,165,5,41,0.7515151515,18,23,41,0.2484848485,1.5,1,1,,,,,
,,Apartment in Floridablanca,162,4.97,41,0.7654320988,15,23,38,0.2345679012,,1,1,,,,,
,,Apartment in Floridablanca,162,4.93,41,0.7654320988,15,23,38,0.2345679012,1,1,1,,,,,
